gene	NA	NA	C3.5.11.FC	NA
AARS	NA	NA	-0.36702107	NA
AARS2	NA	NA	0.100854	NA
ABCB7	NA	NA	0.0500016879999983	NA
ACAA2	NA	NA	0.22156622	NA
ACAD10	NA	NA	-0.51570968	NA
ACAD11	NA	NA	-0.298184641000001	NA
ACAD8	NA	NA	-0.0756428630000006	NA
ACAD9	NA	NA	0.199518019999999	NA
ACADL	NA	NA	-0.175519904	NA
ACADM	NA	NA	0.0901187200000013	NA
ACADS	NA	NA	-0.168342993	NA
ACADSB	NA	NA	-0.0977584810000005	NA
ACADVL	NA	NA	-0.225655377999999	NA
ACO2	NA	NA	0.000956219000000758	NA
ACSBG1	NA	NA	0.0680986179999996	NA
ACSBG2	NA	NA	-0.0292956630000001	NA
ACSL1	NA	NA	-0.0701488400000008	NA
ACSL3	NA	NA	0.0877921300000004	NA
ACSL4	NA	NA	-0.222966799	NA
ACSL5	NA	NA	-0.0381728570000002	NA
ACSL6	NA	NA	0.00661456000000005	NA
ACSM1	NA	NA	-0.0375879500000007	NA
ACSM2A	NA	NA	0.0585215250000006	NA
ACSM2B	NA	NA	0.126793897	NA
ACSM3	NA	NA	-0.034532864	NA
ACSM4	NA	NA	0.20779819	NA
ACSM5	NA	NA	0.0694084659999996	NA
ACSS1	NA	NA	-0.063634253	NA
ACSS2	NA	NA	-0.493956377	NA
ACSS3	NA	NA	0.0905070769999998	NA
AFG3L2	NA	NA	-0.30936335	NA
AIFM1	NA	NA	-0.0871046530000008	NA
AK3	NA	NA	-0.543139931000001	NA
ALAD	NA	NA	0.182742433	NA
ALAS1	NA	NA	0.104292420999999	NA
ALAS2	NA	NA	-0.104299209000001	NA
ALDOA	NA	NA	-0.116334827	NA
ALDOB	NA	NA	-0.114857306999999	NA
ALDOC	NA	NA	-0.254875240000001	NA
AMBRA1	NA	NA	-0.155382698	NA
ANP32A	NA	NA	0.568951803000001	NA
APAF1	NA	NA	-0.0543066210000003	NA
APEX1	NA	NA	0.14072492	NA
APEX2	NA	NA	-0.0181553559999994	NA
ARG1	NA	NA	-0.00562524600000014	NA
ARG2	NA	NA	-0.20008926	NA
ASL	NA	NA	-0.133903227999999	NA
ASS1	NA	NA	-0.58670437	NA
ATAD3A	NA	NA	0.16012806	NA
ATAD3B	NA	NA	0.0513132809999997	NA
ATP5A1	NA	NA	0.0663406799999997	NA
ATP5B	NA	NA	-0.1064606	NA
ATP5C1	NA	NA	0.000894510000000182	NA
ATP5D	NA	NA	0.185388729	NA
ATP5E	NA	NA	0.0958228600000002	NA
ATP5F1	NA	NA	0.164343129999999	NA
ATP5G1	NA	NA	0.199502112999999	NA
ATP5G2	NA	NA	0.0175347499999994	NA
ATP5G3	NA	NA	0.194164207	NA
ATP5H	NA	NA	-0.199574890000001	NA
ATP5I	NA	NA	0.573601097000001	NA
ATP5J	NA	NA	-0.311793889999999	NA
ATP5J2	NA	NA	0.23845431	NA
ATP5L	NA	NA	-0.145694143	NA
ATP5O	NA	NA	-0.319555390000001	NA
ATPAF1	NA	NA	-0.257521096	NA
ATPAF2	NA	NA	0.136570919	NA
ATPIF1	NA	NA	-0.17527677	NA
BAD	NA	NA	0.0158579440000004	NA
BAK1	NA	NA	0.0857821200000002	NA
BAX	NA	NA	-0.427587744	NA
BBC3	NA	NA	-0.273277845999999	NA
BCKDHA	NA	NA	-0.240509119	NA
BCKDHB	NA	NA	0.111052642000001	NA
BCL2	NA	NA	-0.163354076	NA
BCL2L1	NA	NA	0.157736573	NA
BCL2L11	NA	NA	0.135122242	NA
BCS1L	NA	NA	0.0870274640000002	NA
BECN1	NA	NA	0.100175593000001	NA
BID	NA	NA	0.159036252000001	NA
BIK	NA	NA	-0.526537206	NA
BNIP3	NA	NA	-0.352124647	NA
BNIP3L	NA	NA	-0.135934182000001	NA
BOLA3	NA	NA	0.146967140000001	NA
BRP44	NA	NA	0.409639705	NA
BRP44L	NA	NA	0.611466177	NA
CARS2	NA	NA	-0.123382764	NA
CASP3	NA	NA	-0.29797797	NA
CASP7	NA	NA	-0.149357604	NA
CASP9	NA	NA	0.169064566	NA
CCDC109B	NA	NA	0.339042424999999	NA
CCDC56	NA	NA	0.204235429999999	NA
CCDC90A	NA	NA	-0.121983883	NA
CD36	NA	NA	0.223204064	NA
CDK5RAP1	NA	NA	0.0326745080000004	NA
CDKAL1	NA	NA	-0.00523233200000028	NA
CDS1	NA	NA	0.122419495000001	NA
CHCHD4	NA	NA	0.237362450000001	NA
CHCHD8	NA	NA	0.147868005999999	NA
CIAO1	NA	NA	0.00637286999999986	NA
CIAPIN1	NA	NA	0.111981305	NA
CLPP	NA	NA	0.0953871820000014	NA
CLPX	NA	NA	-0.0507012580000001	NA
CMPK2	NA	NA	0.126662988	NA
COX10	NA	NA	-0.0121300690000012	NA
COX11	NA	NA	0.138000234000001	NA
COX15	NA	NA	0.0174237020000003	NA
COX17	NA	NA	0.0033926200000014	NA
COX18	NA	NA	-0.238504844	NA
COX19	NA	NA	-0.143902981	NA
COX4I1	NA	NA	-0.16856333	NA
COX4I2	NA	NA	0.0396063609999997	NA
COX5A	NA	NA	-0.0950845499999993	NA
COX5B	NA	NA	0	NA
COX6A1	NA	NA	-0.0481743699999999	NA
COX6A2	NA	NA	-0.140832545	NA
COX6B1	NA	NA	0.109208240000001	NA
COX6B2	NA	NA	0.00709416800000007	NA
COX6C	NA	NA	-0.0584816099999994	NA
COX7A1	NA	NA	-0.148116078999999	NA
COX7A2	NA	NA	-0.12811773	NA
COX7B	NA	NA	0.27154176	NA
COX7B2	NA	NA	-0.0967251190000002	NA
COX7C	NA	NA	0.0860561700000009	NA
COX8A	NA	NA	0.0472731900000003	NA
CPOX	NA	NA	-0.0256598990000008	NA
CPS1	NA	NA	-0.089318325999999	NA
CPT1A	NA	NA	0.173037042	NA
CPT1B	NA	NA	-0.145361781	NA
CPT1C	NA	NA	-0.332170328	NA
CPT2	NA	NA	0.0302661690000008	NA
CRAT	NA	NA	-0.0518795150000004	NA
CREB1	NA	NA	-0.0871683190000008	NA
CRLS1	NA	NA	-0.0712086899999989	NA
CS	NA	NA	-0.299884489999998	NA
CYC1	NA	NA	-0.0416720700000006	NA
CYCS	NA	NA	0.174657538	NA
DAP3	NA	NA	0.0182874700000006	NA
DARS2	NA	NA	0.0859484029999997	NA
DDX28	NA	NA	0.399501508	NA
DECR1	NA	NA	-0.334252189999999	NA
DHX30	NA	NA	-0.0390405240000007	NA
DIABLO	NA	NA	-0.00850564300000123	NA
DKC1	NA	NA	0.167801770000001	NA
DLAT	NA	NA	0.148738524000001	NA
DLD	NA	NA	0.150264363	NA
DLST	NA	NA	0.327778571	NA
DNAJC19	NA	NA	0.309057765999999	NA
DNM1	NA	NA	0.0856244080000002	NA
DNM1L	NA	NA	0.165075442999999	NA
DUS2L	NA	NA	-0.00893891899999844	NA
DYNLL1	NA	NA	-0.0851000800000001	NA
EARS2	NA	NA	-0.0954868250000001	NA
ECHS1	NA	NA	-0.0931973900000003	NA
ECSIT	NA	NA	0.0356140600000003	NA
EFHA1	NA	NA	0.320179241	NA
EFHA2	NA	NA	0.0575939280000002	NA
EIF2AK1	NA	NA	0.033369714	NA
EIF2AK3	NA	NA	0.105622705	NA
EIF3M	NA	NA	0.331483160000001	NA
ELAC2	NA	NA	-0.0912983349999994	NA
ENDOG	NA	NA	-0.0701330359999996	NA
ENO1	NA	NA	-0.130309329999999	NA
ENO2	NA	NA	-0.366090947	NA
ENO3	NA	NA	-0.207131287	NA
FABP1	NA	NA	0.185436634	NA
FABP12	NA	NA	0.0951130530000004	NA
FABP2	NA	NA	-0.062462386	NA
FABP3	NA	NA	0.0791272579999998	NA
FABP4	NA	NA	-0.0764568390000004	NA
FABP5	NA	NA	0.0730297850000001	NA
FABP6	NA	NA	0.041167991	NA
FABP7	NA	NA	-0.63913513	NA
FABP9	NA	NA	-0.0791102939999995	NA
FAM96A	NA	NA	0.0998140030000005	NA
FAM96B	NA	NA	-0.0195916300000007	NA
FARS2	NA	NA	0.200851700999999	NA
FDX1	NA	NA	0.0777084229999998	NA
FDX1L	NA	NA	0.0123394030000004	NA
FDXR	NA	NA	-0.0291206209999997	NA
FECH	NA	NA	0.00236820999999932	NA
FH	NA	NA	-0.01568082	NA
FIS1	NA	NA	0.0667194210000002	NA
FOXRED1	NA	NA	-0.155684604999999	NA
FTMT	NA	NA	0.153383003	NA
FXN	NA	NA	-0.152567362	NA
GABARAP	NA	NA	-0.183047041	NA
GAPDH	NA	NA	0.0586050500000006	NA
GAPDHS	NA	NA	-0.0300687699999997	NA
GARS	NA	NA	-0.148317870000001	NA
GATC	NA	NA	0.209784053	NA
GCK	NA	NA	0.288797073	NA
GCLC	NA	NA	0.191141486999999	NA
GCLM	NA	NA	0.196629046	NA
GDAP1	NA	NA	0.352590370000001	NA
GFER	NA	NA	0.113689016	NA
GFM1	NA	NA	-0.016972534999999	NA
GFM2	NA	NA	-0.18152014	NA
GLRX2	NA	NA	0.242947043	NA
GLRX5	NA	NA	-0.0817423900000005	NA
GOT2	NA	NA	-0.088424980000001	NA
GPI	NA	NA	-0.0870245699999987	NA
GPX1	NA	NA	-0.223133214	NA
GPX4	NA	NA	-0.139879639999998	NA
GRPEL1	NA	NA	0.216271330000001	NA
GRPEL2	NA	NA	0.0387638430000017	NA
GSR	NA	NA	-0.219827238000001	NA
GSS	NA	NA	-0.078874772999999	NA
GSTA1	NA	NA	0.135028172999999	NA
GSTA2	NA	NA	-0.065822388	NA
GSTA4	NA	NA	-0.370000246	NA
GSTP1	NA	NA	-0.49116237	NA
GTPBP3	NA	NA	0.172907201	NA
HADH	NA	NA	-0.205032509999999	NA
HADHA	NA	NA	-0.20126859	NA
HADHB	NA	NA	0.0386542280000004	NA
HARS2	NA	NA	0.188943733	NA
HCCS	NA	NA	0.124744503	NA
HK1	NA	NA	-0.0257018599999999	NA
HK2	NA	NA	0.223677071999999	NA
HK3	NA	NA	-0.0964584560000006	NA
HMBS	NA	NA	-0.0180626999999998	NA
HSCB	NA	NA	-0.137522243999999	NA
HSD17B10	NA	NA	-0.066443198	NA
HSPA9	NA	NA	-0.0596341000000002	NA
HTRA2	NA	NA	0.0226796839999999	NA
IARS2	NA	NA	-0.0750584100000005	NA
IDH1	NA	NA	-0.12128817	NA
IDH2	NA	NA	-0.167734569	NA
IDH3A	NA	NA	-0.223294475	NA
IDH3B	NA	NA	-0.0677462799999997	NA
IDH3G	NA	NA	0.126209611	NA
IMMP1L	NA	NA	0.0190902460000002	NA
IMMP2L	NA	NA	-0.108537877	NA
ISCA1	NA	NA	0.138391991999999	NA
ISCA2	NA	NA	0.098312001	NA
ISCU	NA	NA	-0.00822251000000129	NA
ITPR1	NA	NA	0.0414491249999998	NA
ITPR2	NA	NA	0.337882432	NA
ITPR3	NA	NA	-0.52013694	NA
KARS	NA	NA	-0.103303185000001	NA
KIAA0391	NA	NA	-0.0572909600000013	NA
KIF1B	NA	NA	-0.175993981000001	NA
KIF5B	NA	NA	-0.0783717110000008	NA
LARS2	NA	NA	-0.195224918999999	NA
LDHA	NA	NA	-0.0234878690000002	NA
LDHAL6B	NA	NA	0.143926796	NA
LDHB	NA	NA	0.12110873	NA
LDHC	NA	NA	0.0568076990000002	NA
LETM1	NA	NA	-0.207021021999999	NA
LIG3	NA	NA	0.0258456589999998	NA
LONP1	NA	NA	0.0577646600000001	NA
LRPPRC	NA	NA	0.0387804799999998	NA
LYRM4	NA	NA	0.0228487650000009	NA
MAP1LC3A	NA	NA	-0.136059592000001	NA
MAPK1	NA	NA	-0.290940435	NA
MAPK3	NA	NA	-0.138526831	NA
MARS2	NA	NA	0.105855078	NA
MCL1	NA	NA	-0.303143499999999	NA
MDH2	NA	NA	-0.01877745	NA
MFF	NA	NA	0.152539008	NA
MFN1	NA	NA	0.0411913740000003	NA
MFN2	NA	NA	0.350893259999999	NA
MIPEP	NA	NA	0.045892306999999	NA
MMS19	NA	NA	-0.227361119999999	NA
MPV17	NA	NA	0.0285738609999999	NA
MPV17L	NA	NA	0.104341897	NA
MPV17L2	NA	NA	-0.160437290999999	NA
MRPL1	NA	NA	0.569694486	NA
MRPL10	NA	NA	-0.12947112	NA
MRPL11	NA	NA	0.210031880000001	NA
MRPL12	NA	NA	0.613171148999999	NA
MRPL13	NA	NA	0.17421989	NA
MRPL14	NA	NA	0.155824600000001	NA
MRPL15	NA	NA	0.287388080000001	NA
MRPL16	NA	NA	0.0420485100000008	NA
MRPL17	NA	NA	0.29493154	NA
MRPL18	NA	NA	0.46173074	NA
MRPL19	NA	NA	0.315597668000001	NA
MRPL2	NA	NA	0.032196815999999	NA
MRPL20	NA	NA	0.319777290000001	NA
MRPL21	NA	NA	0.325499000000001	NA
MRPL22	NA	NA	-0.0842824100000001	NA
MRPL23	NA	NA	-0.0420557300000013	NA
MRPL24	NA	NA	0.0310564380000002	NA
MRPL27	NA	NA	0.325608319999999	NA
MRPL28	NA	NA	-0.0124121539999997	NA
MRPL3	NA	NA	0.180047396999999	NA
MRPL30	NA	NA	-0.194889185000001	NA
MRPL32	NA	NA	0.162120290000001	NA
MRPL33	NA	NA	0.147445530000001	NA
MRPL34	NA	NA	-0.0400982499999998	NA
MRPL35	NA	NA	0.301009614	NA
MRPL36	NA	NA	0.2343403	NA
MRPL37	NA	NA	-0.127606740000001	NA
MRPL38	NA	NA	0.097536057000001	NA
MRPL39	NA	NA	0.171463466000001	NA
MRPL4	NA	NA	0.0101827629999995	NA
MRPL40	NA	NA	0.0306341210000003	NA
MRPL41	NA	NA	0.0532090399999987	NA
MRPL42	NA	NA	0.0692555399999986	NA
MRPL43	NA	NA	0.0168368399999999	NA
MRPL44	NA	NA	0.031781123	NA
MRPL45	NA	NA	0.425642103000001	NA
MRPL46	NA	NA	0.173113487	NA
MRPL47	NA	NA	0.248174947000001	NA
MRPL48	NA	NA	0.612927284	NA
MRPL49	NA	NA	0.0354480610000003	NA
MRPL50	NA	NA	0.278422969999999	NA
MRPL51	NA	NA	0.144500469999999	NA
MRPL52	NA	NA	-0.0583756260000001	NA
MRPL53	NA	NA	0.050290541999999	NA
MRPL54	NA	NA	0.17999887	NA
MRPL55	NA	NA	0.0454996950000002	NA
MRPL9	NA	NA	0.0792277729999995	NA
MRPS10	NA	NA	-0.163447362000001	NA
MRPS11	NA	NA	-0.155405407	NA
MRPS12	NA	NA	0.169154780000001	NA
MRPS14	NA	NA	-0.088769621	NA
MRPS15	NA	NA	0.102439010000001	NA
MRPS16	NA	NA	0.0939728120000005	NA
MRPS17	NA	NA	-0.00473371	NA
MRPS18A	NA	NA	-0.301653303	NA
MRPS18B	NA	NA	0.180960779999999	NA
MRPS18C	NA	NA	-0.0338917940000005	NA
MRPS2	NA	NA	0.15668509	NA
MRPS21	NA	NA	0.275707388000001	NA
MRPS22	NA	NA	0.0105452699999997	NA
MRPS23	NA	NA	0.188531107999999	NA
MRPS24	NA	NA	0.3144078	NA
MRPS25	NA	NA	-0.120501693	NA
MRPS26	NA	NA	0.0713353800000007	NA
MRPS27	NA	NA	-0.309821210000001	NA
MRPS28	NA	NA	0.0138534899999989	NA
MRPS30	NA	NA	0.134425090000001	NA
MRPS31	NA	NA	0.0716123599999996	NA
MRPS33	NA	NA	-0.00410947299999975	NA
MRPS34	NA	NA	0.385281388999999	NA
MRPS35	NA	NA	0.336021592	NA
MRPS36	NA	NA	0.0324388039999999	NA
MRPS5	NA	NA	-0.110600419999999	NA
MRPS6	NA	NA	-0.43196491	NA
MRPS7	NA	NA	0.240287990000001	NA
MRPS9	NA	NA	0.175322490000001	NA
MRRF	NA	NA	-0.0362142849999998	NA
MSTO1	NA	NA	0.0100047639999996	NA
MTFMT	NA	NA	-0.0947216920000002	NA
MTIF2	NA	NA	0.0022517819999992	NA
MTIF3	NA	NA	-0.0214708479999999	NA
MTO1	NA	NA	0.00893465200000065	NA
MTPAP	NA	NA	0.0122589350000002	NA
MTRF1	NA	NA	0.00126962199999969	NA
MTRF1L	NA	NA	-0.045554461	NA
MUTYH	NA	NA	0.0636269599999997	NA
NARF	NA	NA	-0.316071989999999	NA
