gene	NA	NA	C3.5.13.FC	NA
AARS	NA	NA	-0.257454000000001	NA
AARS2	NA	NA	-0.0505219959999987	NA
ABCB7	NA	NA	-0.144325916000001	NA
ACAA2	NA	NA	0.200782370000001	NA
ACAD10	NA	NA	-0.467173485	NA
ACAD11	NA	NA	-0.332853374000001	NA
ACAD8	NA	NA	0.0671161269999985	NA
ACAD9	NA	NA	0.194963222	NA
ACADL	NA	NA	0.130778163	NA
ACADM	NA	NA	-0.29736477	NA
ACADS	NA	NA	-0.219545384000001	NA
ACADSB	NA	NA	-0.134411657	NA
ACADVL	NA	NA	-0.0243110439999992	NA
ACO2	NA	NA	0.0700419730000004	NA
ACSBG1	NA	NA	0.0279493799999999	NA
ACSBG2	NA	NA	-0.233112578	NA
ACSL1	NA	NA	-0.167666435	NA
ACSL3	NA	NA	-0.0539887599999993	NA
ACSL4	NA	NA	-0.154174168	NA
ACSL5	NA	NA	-0.106958281	NA
ACSL6	NA	NA	-0.0546828719999999	NA
ACSM1	NA	NA	0.0101957669999999	NA
ACSM2A	NA	NA	0.038643059	NA
ACSM2B	NA	NA	-0.0760811299999995	NA
ACSM3	NA	NA	-0.0598560949999998	NA
ACSM4	NA	NA	0.0882752529999999	NA
ACSM5	NA	NA	0.0335863700000001	NA
ACSS1	NA	NA	-0.098694075	NA
ACSS2	NA	NA	-0.275754605000001	NA
ACSS3	NA	NA	0.234521004	NA
AFG3L2	NA	NA	-0.23225231	NA
AIFM1	NA	NA	0.0180750700000001	NA
AK3	NA	NA	-0.440269917	NA
ALAD	NA	NA	-0.0059266779999998	NA
ALAS1	NA	NA	0.0205731789999994	NA
ALAS2	NA	NA	0.0221334859999995	NA
ALDOA	NA	NA	-0.292705758	NA
ALDOB	NA	NA	-0.131941165	NA
ALDOC	NA	NA	-0.0620916700000009	NA
AMBRA1	NA	NA	0.0635775120000002	NA
ANP32A	NA	NA	0.184437018000001	NA
APAF1	NA	NA	-0.0579238450000004	NA
APEX1	NA	NA	0.27084573	NA
APEX2	NA	NA	0.247422494	NA
ARG1	NA	NA	-0.0528668459999997	NA
ARG2	NA	NA	-0.241278049	NA
ASL	NA	NA	-0.204493845999999	NA
ASS1	NA	NA	-0.417562632999999	NA
ATAD3A	NA	NA	0.0979338270000003	NA
ATAD3B	NA	NA	-0.0121475699999998	NA
ATP5A1	NA	NA	0.0981705900000005	NA
ATP5B	NA	NA	-0.0168254300000008	NA
ATP5C1	NA	NA	-0.149282980000001	NA
ATP5D	NA	NA	0.312141401	NA
ATP5E	NA	NA	0.394066260000001	NA
ATP5F1	NA	NA	0.0378446199999996	NA
ATP5G1	NA	NA	0.00486315899999923	NA
ATP5G2	NA	NA	-0.00440869999999993	NA
ATP5G3	NA	NA	-0.114874532	NA
ATP5H	NA	NA	0.13146972	NA
ATP5I	NA	NA	0.404073967	NA
ATP5J	NA	NA	-0.428783019999999	NA
ATP5J2	NA	NA	0.109542269999999	NA
ATP5L	NA	NA	-0.38917607	NA
ATP5O	NA	NA	-0.291157140000001	NA
ATPAF1	NA	NA	-0.273564005999999	NA
ATPAF2	NA	NA	0.0382921870000006	NA
ATPIF1	NA	NA	-0.23887189	NA
BAD	NA	NA	0.00508411000000031	NA
BAK1	NA	NA	0.16117641	NA
BAX	NA	NA	-0.105421301	NA
BBC3	NA	NA	-0.234684936999999	NA
BCKDHA	NA	NA	-0.292424901	NA
BCKDHB	NA	NA	-0.0231009100000001	NA
BCL2	NA	NA	-0.013709381	NA
BCL2L1	NA	NA	0.130362058	NA
BCL2L11	NA	NA	-0.105228185	NA
BCS1L	NA	NA	0.183059385	NA
BECN1	NA	NA	0.126079643000001	NA
BID	NA	NA	0.171347309000001	NA
BIK	NA	NA	-0.606017533	NA
BNIP3	NA	NA	0.239417980000001	NA
BNIP3L	NA	NA	-0.273751438000001	NA
BOLA3	NA	NA	-0.0623704299999996	NA
BRP44	NA	NA	0.3117416	NA
BRP44L	NA	NA	0.115973265999999	NA
CARS2	NA	NA	-0.00620329799999908	NA
CASP3	NA	NA	0.400613909999999	NA
CASP7	NA	NA	-0.214118513	NA
CASP9	NA	NA	-0.045452418	NA
CCDC109B	NA	NA	0.229128619999999	NA
CCDC56	NA	NA	-0.0208034799999997	NA
CCDC90A	NA	NA	0.00464981300000034	NA
CD36	NA	NA	-0.0376527580000001	NA
CDK5RAP1	NA	NA	-0.033839264	NA
CDKAL1	NA	NA	0.0127042839999998	NA
CDS1	NA	NA	-0.179238417999999	NA
CHCHD4	NA	NA	0.368956370000001	NA
CHCHD8	NA	NA	0.0778985700000003	NA
CIAO1	NA	NA	-0.136155294	NA
CIAPIN1	NA	NA	0.276515343	NA
CLPP	NA	NA	0.104976252	NA
CLPX	NA	NA	0.128927827	NA
